id,Unnamed: 1,_id,location,createdAt,updatedAt,__v,crime_id,crime_occurred_indoors_or_outdoors,day_of_week,event_proximity,date,time,case_status,crime_type
1.0,,,,,,,,,,,,,,
,,67f3693656b1e991bd6b1467,67f3652456b1e991bd6b0ddd,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,1,Indoors,Thursday,Near School,2024-04-18 00:00:00,21:31,Under Investigation,67f3650356b1e991bd6b0a56
,,67f3693656b1e991bd6b1468,67f3652456b1e991bd6b0dde,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,3,Indoors,Wednesday,Near School,2024-02-28 00:00:00,6:55,Closed,67f3650356b1e991bd6b0a57
,,67f3693656b1e991bd6b1469,67f3652456b1e991bd6b0ddf,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,5,Indoors,Sunday,Near School,2023-07-09 00:00:00,8:18,Closed,67f3650356b1e991bd6b0a58
,,67f3693656b1e991bd6b146a,67f3652456b1e991bd6b0de0,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,6,Indoors,Friday,Isolated Area,2020-12-18 00:00:00,3:15,Closed,67f3650356b1e991bd6b0a59
,,67f3693656b1e991bd6b146b,67f3652456b1e991bd6b0de1,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,7,Indoors,Thursday,Near School,2022-03-10 00:00:00,9:40,Closed,67f3650356b1e991bd6b0a5a
,,67f3693656b1e991bd6b146c,67f3652456b1e991bd6b0de2,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,8,Indoors,Tuesday,Near Market,2025-03-18 00:00:00,21:08,Closed,67f3650356b1e991bd6b0a5b
,,67f3693656b1e991bd6b146d,67f3652456b1e991bd6b0de3,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,11,Outdoors,Saturday,Near Market,2023-12-16 00:00:00,21:28,Open,67f3650356b1e991bd6b0a5c
,,67f3693656b1e991bd6b146e,67f3652456b1e991bd6b0de4,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,12,Indoors,Saturday,Residential Area,2021-12-18 00:00:00,16:24,Closed,67f3650356b1e991bd6b0a5d
,,67f3693656b1e991bd6b146f,67f3652456b1e991bd6b0de5,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,13,Outdoors,Friday,Near School,2022-11-25 00:00:00,18:09,Under Investigation,67f3650356b1e991bd6b0a5e
,,67f3693656b1e991bd6b1470,67f3652456b1e991bd6b0de6,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,15,Indoors,Friday,Isolated Area,2025-08-08 00:00:00,10:07,Open,67f3650356b1e991bd6b0a5f
,,67f3693656b1e991bd6b1471,67f3652456b1e991bd6b0de7,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,16,Indoors,Monday,Isolated Area,2024-12-30 00:00:00,1:38,Under Investigation,67f3650356b1e991bd6b0a60
,,67f3693656b1e991bd6b1472,67f3652456b1e991bd6b0de8,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,17,Outdoors,Monday,Near School,2025-03-24 00:00:00,0:49,Closed,67f3650356b1e991bd6b0a61
,,67f3693656b1e991bd6b1473,67f3652456b1e991bd6b0de9,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,18,Outdoors,Friday,Isolated Area,2020-01-10 00:00:00,16:36,Under Investigation,67f3650356b1e991bd6b0a62
,,67f3693656b1e991bd6b1474,67f3652456b1e991bd6b0dea,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,19,Outdoors,Tuesday,Near Market,2022-06-07 00:00:00,1:49,Closed,67f3650356b1e991bd6b0a63
,,67f3693656b1e991bd6b1475,67f3652456b1e991bd6b0deb,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,20,Indoors,Monday,Near Market,2020-07-20 00:00:00,13:05,Closed,67f3650356b1e991bd6b0a64
,,67f3693656b1e991bd6b1476,67f3652456b1e991bd6b0dec,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,22,Outdoors,Wednesday,Near Market,2020-01-15 00:00:00,14:04,Closed,67f3650356b1e991bd6b0a65
,,67f3693656b1e991bd6b1477,67f3652456b1e991bd6b0ded,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,23,Outdoors,Friday,Isolated Area,2021-09-03 00:00:00,2:31,Closed,67f3650356b1e991bd6b0a66
,,67f3693656b1e991bd6b1478,67f3652456b1e991bd6b0dee,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,25,Outdoors,Wednesday,Isolated Area,2020-02-26 00:00:00,4:53,Under Investigation,67f3650356b1e991bd6b0a67
,,67f3693656b1e991bd6b1479,67f3652456b1e991bd6b0def,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,28,Outdoors,Saturday,Isolated Area,2020-10-31 00:00:00,2:53,Closed,67f3650356b1e991bd6b0a68
,,67f3693656b1e991bd6b147a,67f3652456b1e991bd6b0df0,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,29,Indoors,Friday,Near School,2020-10-02 00:00:00,11:12,Under Investigation,67f3650356b1e991bd6b0a69
,,67f3693656b1e991bd6b147b,67f3652456b1e991bd6b0df1,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,30,Indoors,Friday,Isolated Area,2023-10-13 00:00:00,21:29,Open,67f3650356b1e991bd6b0a6a
,,67f3693656b1e991bd6b147c,67f3652456b1e991bd6b0df2,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,32,Indoors,Friday,Isolated Area,2023-01-20 00:00:00,6:47,Open,67f3650356b1e991bd6b0a6b
,,67f3693656b1e991bd6b147d,67f3652456b1e991bd6b0df3,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,33,Indoors,Tuesday,Residential Area,2021-07-13 00:00:00,10:50,Closed,67f3650356b1e991bd6b0a6c
,,67f3693656b1e991bd6b147e,67f3652456b1e991bd6b0df4,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,34,Indoors,Wednesday,Near Market,2024-06-12 00:00:00,5:12,Open,67f3650356b1e991bd6b0a6d
,,67f3693656b1e991bd6b147f,67f3652456b1e991bd6b0df5,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,38,Indoors,Sunday,Near School,2022-11-06 00:00:00,17:33,Open,67f3650356b1e991bd6b0a6e
,,67f3693656b1e991bd6b1480,67f3652456b1e991bd6b0df6,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,40,Indoors,Tuesday,Near Market,2020-08-11 00:00:00,9:10,Under Investigation,67f3650356b1e991bd6b0a6f
,,67f3693656b1e991bd6b1481,67f3652456b1e991bd6b0df7,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,43,Indoors,Friday,Near Market,2022-06-17 00:00:00,7:21,Open,67f3650356b1e991bd6b0a70
,,67f3693656b1e991bd6b1482,67f3652456b1e991bd6b0df8,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,48,Indoors,Thursday,Near Market,2025-11-27 00:00:00,0:54,Open,67f3650356b1e991bd6b0a71
,,67f3693656b1e991bd6b1483,67f3652456b1e991bd6b0df9,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,49,Indoors,Tuesday,Near School,2022-07-19 00:00:00,20:39,Under Investigation,67f3650356b1e991bd6b0a72
,,67f3693656b1e991bd6b1484,67f3652456b1e991bd6b0dfa,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,50,Indoors,Friday,Near Market,2022-02-04 00:00:00,0:27,Closed,67f3650356b1e991bd6b0a73
,,67f3693656b1e991bd6b1485,67f3652456b1e991bd6b0dfb,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,54,Indoors,Wednesday,Residential Area,2020-08-05 00:00:00,16:42,Under Investigation,67f3650356b1e991bd6b0a74
,,67f3693656b1e991bd6b1486,67f3652456b1e991bd6b0dfc,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,56,Outdoors,Monday,Isolated Area,2025-02-10 00:00:00,23:31,Closed,67f3650356b1e991bd6b0a75
,,67f3693656b1e991bd6b1487,67f3652456b1e991bd6b0dfd,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,57,Outdoors,Sunday,Residential Area,2021-12-12 00:00:00,19:15,Open,67f3650356b1e991bd6b0a76
,,67f3693656b1e991bd6b1488,67f3652456b1e991bd6b0dfe,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,58,Indoors,Monday,Isolated Area,2025-01-13 00:00:00,7:33,Open,67f3650356b1e991bd6b0a77
,,67f3693656b1e991bd6b1489,67f3652456b1e991bd6b0dff,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,59,Outdoors,Friday,Isolated Area,2022-08-19 00:00:00,21:28,Closed,67f3650356b1e991bd6b0a78
,,67f3693656b1e991bd6b148a,67f3652456b1e991bd6b0e00,2025-03-06 23:10:54.813000,2025-03-06 23:10:54.813000,0.0,60,Indoors,Monday,Isolated Area,2022-08-29 00:00:00,2:34,Under Investigation,67f3650356b1e991bd6b0a79
